episode,season,episode_number,title,airdate,rating,total_votes,desc
135,6,15,Fight or Flight,2/18/15,7.9,1238,"A single first-class upgrade comes between Phil and Claire, Sal abandons her baby during Mitchell and Cam's baby shower, Jay helps Manny confront a bully, and Alex and Haley help Luke break up with a girl via text message."
136,6,16,Connection Lost,2/25/15,9.5,5306,Claire is stuck at an airport and trying to digitally track down Haley after an argument.
137,6,17,Closet? You'll Love It!,3/4/15,7.8,1229,"Jay and Claire scramble to shoot a commercial in response, but there might be some creative differences between father and daughter. A peeping-Tom in the neighborhood keeps using a drone to spy on Gloria."
138,6,18,Spring Break,3/25/15,7.4,1168,"Hayley gets Alex drunk at a concert, Phil becomes jealous of Luke's increasing abilities, Cam gets in trouble over a song at a talent show, and Mitchell and Jay try to go behind their spouses' backs."
139,6,19,"Grill, Interrupted",4/1/15,7.6,1144,"Jay isn't impressed with Phil's birthday gift, Alex isn't excited about her acceptance to Cal Tech, Mitch and Cam get an inheritance, Andy sees Hayley for the first time since the hospital, and the boys sneak alcohol behind Gloria's back."
140,6,20,Knock 'Em Down,4/22/15,8.1,1186,"Jay agrees to sub on Cam's bowling team, not knowing it's an all-gay league. Phil and Claire finally bond with their neighbors over an offensive statue. Gloria and Mitchell agree to a night out with Haley to prove they're not too old."
141,6,21,Integrity,4/29/15,7.8,1107,"Jay talks Phil into standing up to Claire, but freaks out when Phil turns the tables on him. Claire lobbies for Luke to win a school award. Mitch and Cam finally address a sensitive topic while babysitting for Joe."
142,6,22,Patriot Games,5/6/15,8.1,1165,"Alex is not satisfied when she is named co-valedictorian, and neither is her competitor. Gloria prepares to take her citizenship exam until she finds out the real reason Jay wants her to take it. Mitch and Cam consider joining a protest."
143,6,23,Crying Out Loud,5/13/15,8.3,1171,"Claire thinks about leaving her job with her father. Phil, Haley and Luke take Alex on her ""senior ditch day"". Mitch and Cam are worried that Lily doesn't show empathy. Gloria tries to drive a wedge between Manny and his girlfriend."
144,6,24,American Skyper,5/20/15,8.8,1569,"As Alex finally graduates from high school, Phil uses Skype because he stuck in Seattle. Mitchell loses his job and Claire has to find the perfect gift for Alex while Andy is caught between Haley and Beth."
145,7,1,Summer Lovin',9/23/15,7.8,1265,Haley loses out on Andy and gets back with Dylan. Alex and Sanjay plan their breakup for when they leave for school. Mitchell takes up art instead of finding a new job. Jay and Gloria try to get Joe in a good preschool.
146,7,2,The Day Alex Left for College,9/30/15,7.8,1174,"Haley drops Alex off at school, where they meet her intense new roommate. Phil asks Luke to help him show a house, but he'd rather be with his friends. And everybody else is looking for an excuse to get out of Lily's soccer game."
147,7,3,The Closet Case,10/7/15,7.8,1118,Mitchell takes a job with his dad's rival. Luke and Manny visit Alex at college to meet a girl. Gloria is upset when a cheerleader doesn't decorate Manny's locker. Phil and Claire play chicken when Dylan moves into the house.
148,7,4,She Crazy,10/14/15,7.7,1112,"Phil builds a habitat for the duck eggs and convinces Lily to help him hatch them; Claire is anxious about telling Jay her ideas for closets; Gloria and Manny assist each other with their ""crushes""; Cam bonds with frat guys."
149,7,5,The Verdict,10/21/15,7.5,1064,"Claire is excited to give Haley and Alex a great experience for ""Bring Your Daughter to Work Day"" but the staff is not making it easy, and Phil takes Luke and Manny's class out for community service day, which becomes a teachable moment in more ways than one. Elsewhere, Gloria is thrilled to be on jury duty leaving Jay to help out at Joe's pre-school and he is not happy about it at all. Cam and Mitch disagree over which of their friends to invite to their party, so could Gloria help mediate?"
150,7,6,The More You Ignore Me,11/11/15,7.5,999,"Luke is arrested, and Phil is surprised by Claire's reaction. Mitchell has a new job offer to ponder. Cameron helps Gloria uncover the secret recipe for her family's sauce. Jay is set to receive an award from the Chamber of Commerce."
151,7,7,"Phil's Sexy, Sexy House",11/18/15,8.6,1380,"Haley sneaks into the fancy house Phil is selling for some alone time, but discovers that other people had the same idea. Meanwhile, Jay secretly plans a trip for the family, and Manny tries to use his brother Joe to impress a girl."
152,7,8,Clean Out Your Junk Drawer,12/2/15,7.9,1169,"Gloria pays for all three couples to have a Sunday afternoon group therapy session, but nobody else is taking it seriously. Meanwhile, Haley and Alex discuss whether they should dump their boyfriends."
153,7,9,White Christmas,12/9/15,8.3,1160,"Gloria makes plans for the family to have a ""White Christmas,"" but the weather does not cooperate. Jay makes a decision about the future of his business. Alex makes a new friend. Haley and Andy continue to fool around in secret."
154,7,10,Playdates,1/6/16,7.6,1040,"The Dunphy kids make a last-minute birthday surprise for Mitchell, and run into Ray Liotta. Jay is uncomfortable with the father of Joe's new play date. Claire asks Phil to not pick up the bill at lunch. Cam helps Lily with a new crush."
155,7,11,Spread Your Wings,1/13/16,8,1075,"While Phil visits a lonely Alex at CalTech, Claire tries to get rid of the ducks. Gloria and Cam have to steal some peppers to fill their sauce recipe. Jay helps Mitchell with Lily's sleepover."
156,7,12,Clean for a Day,2/10/16,7.5,983,"Claire's efforts at cleaning house brings resistance from her family and a bittersweet memory for Alex. While Jay sneaks off for flying lessons with Cameron, Mitchell tries to help Gloria learn how to play golf."
157,7,13,Thunk in the Trunk,2/17/16,7.6,1006,"Claire's new position means Phil feels like a housewife. Gloria's provocative sauce ad gets Jay jealous. Mitch and Cam rent the apartment above their own, but end up spying on their guests"
158,7,14,The Storm,2/24/16,8.1,1106,"During an electrical storm, Phil tries too hard to prove that he's useful, Jay desperately tries to make an appointment at a bar, Manny has an embarrassing moment with Claire, and Mitch and Cam try to save Lily's failing birthday party."
159,7,15,I Don't Know How She Does It,3/2/16,7.6,964,"Claire doesn't tell Phil that she's using an assistant to do all her family chores. Jay, Gloria and Manny each try to keep an embarrassing secret from each other. Mitch and Cam try to find out why they've been blacklisted at gay weddings."
160,7,16,The Cover-Up,3/16/16,8.1,1011,"Phil hides a secret about his new client from Claire, but Claire has her own secret about her yoga instructor. Jay needs help to find the identity of an online troll. Cam has an accident while forcing Lily to learn how to ride a bike."
161,7,17,Express Yourself,3/23/16,7.7,955,"Phil talks Claire into a last-minute trip to Paris, and Andy has a wild night out in Las Vegas with Haley. Jay's bathroom remodeling project frustrates Gloria, and Mitchell can't sleep when Cameron's sister comes to visit."
162,7,18,The Party,4/6/16,8.6,1257,"Manny and Luke are in charge of babysitting Lily so that the adults can enjoy a day to themselves. Claire and Gloria have a lovely trip to the spa planned; Phil and Mitch nerd out in the movies; Jay and Cam go to a sports bar to watch the big fight. Things started going awry though when the fire alarm goes off back at the house, Claire is convinced the boys are secretly throwing a party."
163,7,19,Man Shouldn't Lie,4/13/16,7.7,964,Claire takes in a stray dog and tries to hide it from Phil. Gloria persuades a reluctant Jay to make a new friend. Mitchell tries to persuade the drummer in a Christian rock band he suspects of being gay to come out of the closet.
164,7,20,Promposal,5/4/16,7.5,918,"Mitchell helps Luke out with his ""promprosal,"" sparking Cam's jealousy. Claire discovers that there is a mole for Jay in the company. Phil and Gloria confront a competitor who stole Gloria's sauce recipe."
165,7,21,Crazy Train,5/11/16,8,992,"The family travels by train to Dede's wedding. Phil and Cam help a mystery writer with his book, Jay's comment puts the wedding in jeopardy, Claire helps Mitch write the toast, and Luke and Alex meet possible romantic interests."
166,7,22,Double Click,5/18/16,8.2,1023,"Jay struggles as he returns to the job, and Claire is in a no-win situation having to fire an employee. Mitchell and Cam fight over who keeps Lily for the summer. Meanwhile, Phil and the kids struggle with relationships and change."
167,8,1,A Tale of Three Cities,9/21/16,8.1,1126,"The three families will be in three different locations: the Dunphys will be in New York, Jay and Gloria will attend a wedding in Mexico, and Mitchell and Cameron will attend a funeral in Missouri."
168,8,2,A Stereotypical Day,9/28/16,7.6,968,Jay wants to make a good impression on a family moving in across the street; Manny tries to attract a radical thinker; the Pritchett family uses Alex's bout of mono to their advantage; Cam and Mitchell try to teach a message of acceptance.
169,8,3,Blindsided,10/5/16,7.4,930,"The Dunphys and Pritchetts are competing when Luke decided his best shot at getting into college is to win the senior class president election against Manny. The election seems much more important to Jay, Gloria, and Claire, though. Now that Haley has started her own promotion business, Phil introduces her to Merv Schechter, a marketing guru. When Cam finds out his star football player is moving, he does everything in his power to keep him, which means a crowded situation at home."
170,8,4,Weathering Heights,10/12/16,7.6,911,"Phil is excited when he's invited to appear in a real estate segment for the local news; Phil meets his weatherman hero, Rainer Shine; Jay tries to improve Manny's video interview for a college application."
171,8,5,Halloween 4: The Revenge of Rod Skyhook,10/26/16,7.7,930,The Dunphy's try to kick start Luke's Halloween party; Cam confronts his Halloween nemesis; Jay plans to go to a party at an old enemy's home to deliver an unforgettable trick.
172,8,6,Grab It,11/9/16,7.2,880,Phil considers becoming a member at Jay's favorite refuge; Claire is mistaken about her influence on Alex's choices; Cam holds back on telling Mitchell what his play is really about.
173,8,7,Thanksgiving Jamboree,11/16/16,7.3,914,Cameron spares no expense for his Thanksgiving jamboree; Hayley tells Phil she'd rather spend the holiday with her new boyfriend; Jay works to keep his blood pressure down; Alex and Dwight get closer.
174,8,8,The Alliance,11/30/16,8.4,1152,"Hayley's day with Rainer Shine's daughter doesn't go as expected; Luke unintentionally helps Jay with his petition; Gloria, Phil and Cam have a secret meeting."
175,8,9,Snow Ball,12/14/16,7.2,866,"Manny and Luke's efforts to put on the school's winter dance get complicated due to a texting error; Gloria, Claire, Mitchell and Cam volunteer at the dance while Jay tries to get out of it by pretending he wants to spend time with Phil."
176,8,10,Ringmaster Keifth,1/4/17,7.4,881,"Cam wants to throw a New Year's Day feast for the family. Phil's father arrives with his new girlfriend, who happens to be Phil's childhood babysitter. Gloria and Jay must decide who will look after little Joe if something should happen to them."
177,8,11,Sarge & Pea,1/11/17,7.2,860,Cam goes to the extremes to confront a parent who robbed him of a precious Lily moment during her dance recital.
178,8,12,Do You Believe in Magic,2/8/17,7.8,886,Phil calls upon his alter ego to inject some sizzle back into his marriage; Jay shows favoritism in his parenting; Haley and Sal try to stand up to men in their lives.
179,8,13,Do It Yourself,2/15/17,7.3,800,Phil talks Jay into investing in a property he has long wanted to develop; Claire's culinary ventures aren't as successful as she thinks; Cam and Mitchell try to teach Lily the value of hard work.
180,8,14,Heavy Is the Head,2/22/17,7.2,780,Phil and Jay get an offer to sell a land investment for a 20 percent profit but turn it down. Cam is petrified to have an MRI so Mitchell tries to ease his fear. Gloria arranges a birthday surprise at Claire's work at an inconvenient time.
181,8,15,Finding Fizbo,3/1/17,6.7,796,"After seeing an online video of his Fizbo costume being desecrated, Cam sets out to restore the character's good name; Phil meets his soon-to-be stepbrother; Manny enlists Gloria, Claire and Haley to do a read-through of his newest play."
182,8,16,Basketball,3/8/17,7.2,796,NBA stars Charles Barkley and DeAndre Jordan attend the charity basketball game Phil is playing in; Gloria's nemesis tries to shame her for lack of support at Manny's school; Claire tries to keep a work mistake secret from Jay.
183,8,17,Pig Moon Rising,3/15/17,7.5,811,"Mitchell accidentally knocks over an urn containing the ashes of Cam's beloved pet pig, Lilly; Cam tries to catch Mitchell in a lie."
184,8,18,Five Minutes,3/29/17,7.5,995,Mitch and Cam fight the effects of sleeping pills while rushing to catch a flight; Haley and Rainer re-evaluate their relationship; Phil and Claire meet Alex's new boyfriend when they pay her a surprise visit.
185,8,19,Frank's Wedding,4/5/17,7.4,804,"Phil gets the Dunphy clan to show up in costume for Frank's Roaring '20s-themed wedding; Jay masters the art of saying no; Cam stands up to his sister, Pam."
186,8,20,All Things Being Equal,5/3/17,5.8,1094,"Gloria, Claire, Haley, Alex, Lily, Luke, and Manny show support for gender equality and the women's movement in their own ways; Jay and Phil butt heads over their parking attendant; Cam feels jealous when Pam prefers Mitchell's help with the baby."
187,8,21,Alone Time,5/10/17,7.6,804,"Mitch and Jay end up at the same resort when they separately seek out a retreat from the family; Phil and Claire struggle to enjoy empty-nester life; not knowing what to do with himself while Mitch is away, Cam drops in on Gloria."
188,8,22,The Graduates,5/17/17,7.7,814,Jay picks up the pieces after Manny's father takes him out to celebrate graduation; the family prepares for Luke and Manny's big day.
189,9,1,Lake Life,9/27/17,7.8,1073,Jay takes the family on a lake house in efforts to make memories.
190,9,2,The Long Goodbye,10/4/17,7.3,833,Manny leaves for college and it's hard to say goodbye to his family. Haley starts working for Luke at the club and Phil and Claire visit Alex at college. Cam and Mitchell have problems with their kitchen.
191,9,3,Catch of the Day,10/11/17,7.4,778,Phil is superstitious and thinks he's in for a day of bad luck. Mitch thinks Cam is undermining on the kitchen renovation. Can Gloria admit she had an accident?
192,9,4,"Sex, Lies & Kickball",10/18/17,7,782,Jay's best friend visits from Costa Rica but spends more time with Gloria. Alex wants to prove to Claire that her relationship with Ben is sexual.
193,9,5,"It's the Great Pumpkin, Phil Dunphy",10/25/17,7.2,744,Phil and Claire try to prove to their kids that Halloween is for adults. Mitch confronts Jay on the time it takes to renovate their kitchen. Cam oversteps as a house guest.
194,9,6,Ten Years Later,11/1/17,7.2,746,Claire and Mitchell try to make up for less than enthusiastic support of Jay marrying Gloria 10 years ago by organizing an anniversary party for them. Phil discovers that he failed to become a magician decades earlier due to a betrayal.
195,9,7,Winner Winner Turkey Dinner,11/15/17,7.6,760,Everyone is celebrating their triumph on the thanksgiving while the truth is that all of them cheated.
196,9,8,Brushes with Celebrity,11/29/17,7.3,787,Each member of the family reminisce about run-ins with celebrities.
197,9,9,Tough Love,12/6/17,7.2,700,Phil and Claire go out of their comfort zone when he goes on a survival camping trip and she has to drive a big rig. Gloria is upset over Manny dating his female professor. A student in Cameron's detention class is an undercover cop.
198,9,10,No Small Feet,12/13/17,7.1,691,"When Claire lands a big opportunity for Pritchett's Closets, Jay expects a little validation for his contribution and takes over her celebration when he doesn't get one. Pam's charming but grifting ex-boyfriend Bo (James Van Der Beek) shows up to win his family back and Mitchell sees this as the perfect opportunity to get Pam out of the house. Meanwhile, Luke and Alex stumble upon a successful online business (online store for feet fetishists) that finally gets them on their feet. Finally, Phil has to make a sale to pay the bills but his new age client comes to ..."
199,9,11,"He Said, She Shed",1/3/18,7.1,686,Jay teaches Joe how to play golf but he and Gloria both push him into becoming too competitive. Mitch and Cam host a party for Lily and her friends. Claire thinks that the Homeowners Association turned her application to build a shed on her own property.
200,9,12,Dear Beloved Family,1/10/18,7.3,702,"Phil is sick and wants Claire to find his surgery bear. Jay and Gloria are having issues over explaining Joe about ""the death"" scenario whilst Cam is furious at Mitchell as he has a crush on someone."
201,9,13,In Your Head,1/17/18,7.3,760,"When Luke goes missing after a night out in a sketchy neighborhood, Manny, Phil and Gloria team up to track him down. Meanwhile, Haley is desperate to land an interview with the creator of a popular lifestyle website and interrupts Alex during one of her college classes. Alex's professor, Arvin Fennerman (Chris Geere), then proceeds to try and give Haley a piece of his mind."
202,9,14,Written in the Stars,2/28/18,7.4,722,"On Valentine's Day, Mitch and Cam ruin Luke's date, Jay and Gloria do some role playing and Joe has a crush on Claire."
203,9,15,Spanks for the Memories,3/7/18,6.8,683,"When Jay overhears Gloria talking about spanking, he thinks she's bored in the bedroom. After Mitchell gets a great new job, he and Cam throw a party to rub it in Cam's friend's face."
204,9,16,Wine Weekend,3/21/18,7.4,726,"The family go wine tasting and stay in Hayley's boss's country house which has one important rule, don't touch the tiara. Meanwhile, Gloria and Mitch are invited to a party at Oprah's house but can't bring anyone else."
205,9,17,Royal Visit,3/28/18,7.2,665,"Haley's brilliant astrophysicist boyfriend and Alex's simple but heroic fireman hunk meet the family. Jay and Gloria meet Joe's pal's perfect parents. On couples retreat, anechoic chamber traumatizes Mitch and Cam meets his baseball idol."
206,9,18,Daddy Issues,4/4/18,8.1,764,"When Jorge, Gloria's ex-boyfriend, stops by for a visit, his resemblance to Manny makes Jay question Manny's paternity. Phil agonizes over the perfect gift for Claire for the anniversary. Cam and Mitch deal with Lily's women's troubles."
207,9,19,CHiPs and Salsa,4/11/18,6.9,656,"When Haley hears that her loopy boss is looking for a product with the magical properties of peppers, she tries to gain favor by convincing Gloria to sell her salsa to NERP; Mitchell gets Cam the police ride-along he's always dreamed of."
208,9,20,Mother!,5/2/18,7.4,667,"When DeDe arrives for a surprise visit, Mitchell and Cam come to an understanding regarding her influence on their lives. Phil, Luke, Alex and Haley have bad news for Claire and compete for the right timing to tell her."
209,9,21,The Escape,5/9/18,7.5,644,"Haley meets Arvin's parents but when things don't go as planned, fate leads to an unexpected reunion with all of her ex-boyfriends. Meanwhile, the family seizes on a nursing home visit with Jay's mean sister, Becky, to settle old scores. But as Jay, Claire and Mitchell compete for her time, Phil, Cam and Gloria end up getting trapped in the home's basement with no way out."
210,9,22,Clash of Swords,5/16/18,6.5,680,"In the Season 9 finale, Mitchell sneaks out to ""Hero-Con"" with fanboy Phil, dressed as their favorite characters from the show ""Clash of Swords."" It's great until Phil commits the ultimate fan faux pas. In a clash of another kind, Gloria's dinosaur party for Joe is ruined when her nemesis, Dr. Donna Duncan, upstages her with a far bigger and better party right next door."
211,10,1,I Love a Parade,9/26/18,6.6,807,"The Pritchett-Dunphy-Tucker clan are going to be setting off more than a few fireworks when they get together at the annual Fourth of July parade where Jay will be acting as the grand marshal. Meanwhile, Haley's goodbye with Arvin before his trip to Switzerland doesn't go as well as she pictured it and is distracted by the return of an old flame."
212,10,2,Kiss and Tell,10/3/18,8,786,"Haley needs a little help deciding whether or not to tell Arvin about her kiss with Dylan and goes to Mitch and Cam for their advice. Meanwhile, Gloria suspects Manny's Canadian girlfriend is made up and wants to find out the real truth."
213,10,3,A Sketchy Area,10/10/18,7.2,715,"Phil stumbles into an exciting new career after dropping by Luke's college; while Claire deals with her dad, Jay, and the merger of Pritchett's Closets with a tech-savvy, hipper company. Meanwhile, Mitch's new high-profile case as an assistant district attorney is marred by an unflattering courtroom sketch by the resident artist."
214,10,4,Torn Between Two Lovers,10/17/18,7.3,706,"Haley can't seem to choose between her past and present relationships and is forced to make a decision. Meanwhile, Manny returns to college and dorm life while his girlfriend, Sherry, continues to stay at Jay and Gloria's, and might be overstaying her welcome."
215,10,5,Good Grief,10/24/18,7.3,726,"It's an epic Halloween full of costumes, tricks and treats for the Dunphy-Pritchett-Tucker clan as they deal with huge, unexpected news."
216,10,6,On the Same Paige,10/31/18,7.5,659,"Phil learns that his real estate class will be cancelled if any additional students drop it. So, he turns on his powers of charm and flattery to keep one particular student, Paige, from leaving while Luke asks her out by inviting her over to dinner. Meanwhile, Jay may unknowingly be flirting with the mother of Joe's classmate and tries to set boundaries"
217,10,7,Did the Chicken Cross the Road?,11/7/18,7.4,598,Alex has an interview for a job and Luke helps her vanquish her fears. Phil believes that he was a Russian Spy in High School. Haley learns unexpected news while Cameron adopts a chicken. Jay and Gloria disagree over Joe's education.
218,10,8,Kids These Days,11/28/18,7.2,585,Haley needs motherly advice from Claire as she considers her future with Dylan and her career; Jay and Cam's less than politically correct coaching style earns them a class on sensitivity; Mitch runs into Phil's nemesis at an unlikely place.
219,10,9,Putting Down Roots,12/5/18,7.5,591,"When Dede's husband comes to town to bequeath her possessions to the family, Jay and Gloria feel sorry for him and invite him to stay with them while he is in town."
220,10,10,Stuck in a Moment,12/12/18,7.5,591,"Haley works to figure out the best time to give the family a Christmas gift they will never forget; Phil borrows the family Christmas tree for a house-showing; Jay, Gloria and Joe deal with unwelcome holiday visitors."
221,10,11,A Moving Day,1/9/19,7,562,Claire and Phil aren't convinced that Haley and Dylan can make it on their own as they move them into their new apartment before the baby arrives; Pameron gets out of prison early and has a bone to pick with Mitchell.
222,10,12,Blasts from the Past,1/16/19,6.6,567,Phil and Claire postpone their planned cycling tour through Italy when Dylan's hippy mother comes to meet them; Mitch's old issue of Playgirl magazine makes Cam jealous; Gloria and Manny investigate the legend of Jay's heroic great uncle.
223,10,13,Whanex?,1/23/19,6.8,552,"Cam must contend with a bully at the school; Jay has technical trouble during a video conference; the local mall holds a photo shoot for its new ad campaign, and Gloria tricks Phil and Joe into participating."
224,10,14,We Need to Talk About Lily,1/30/19,7.3,554,"Phil thinks he found Pepper his dream home; in an attempt to connect with Lily, Mitch and Cam get invited to an exclusive event for her favorite vlogger."
225,10,15,SuperShowerBabyBowl,2/20/19,7.1,533,"Jay hosts a Super Bowl party at the same time as Claire hosts a baby shower for Haley, both at Jay's house."
226,10,16,Red Alert,2/27/19,6.8,544,"Lily reaches a womanly milestone that Cam and Mitch are not prepared for at all, so they call in reinforcements."
227,10,17,The Wild,3/13/19,7,564,"Mitch, Cam and Phil crash Jay's annual hiking trip to find an elusive bald eagle after Gloria asks them to keep an eye on him; Gloria, Alex, Claire and Haley get together to plan her baby shower."
228,10,18,Stand by Your Man,3/20/19,7.2,524,"Dylan and Luke are really impressed with Bill's tales of heroism and survival as a firefighter, which make Phil feel emasculated."
229,10,19,Yes-Woman,4/3/19,7.4,542,"In an effort to be less negative, Claire inadvertently approves of Luke's new relationship with someone from his work; Phil tries to surprise Alex at school right before she receives an award she didn't tell him about."
230,10,20,Can't Elope,4/10/19,7.9,574,Haley and Dylan's plan to quietly elope before the babies are born doesn't go as smoothly as they had hoped; Jay continues to try and get his new business off the ground by courting an Instagram celebrity.
231,10,21,Commencement,5/1/19,7,536,Cam finally gets a chance to shine when he is asked to preside over the high school graduation ceremony at the last minute; Jay gives the commencement address; Claire runs into her former high school rival who brings out the worst in her.
232,10,22,A Year of Birthdays,5/8/19,8.6,784,The birth of Haley and Dylan's twins approaches as a look back at how the family celebrated their birthdays over the past year is discussed.
233,11,1,New Kids on the Block,9/25/19,6.4,640,"Haley is determined to follow the advice in her parenting books, but Phil and Claire think their old methods are better; Manny is set to direct Jay's dog bed commercial in hopes of winning his ex-girlfriend back."
234,11,2,Snapped,10/2/19,7.2,559,Claire needs to get everyone out of the house before they make her look bad in front of a reporter from an important women's business magazine; Cam and Mitchell welcome a high-tech smart refrigerator into their home; Phil is suspicious of Gloria when a student of his is injured.
235,11,3,Perfect Pairs,10/9/19,7.2,503,"Phil, Claire, Alex and Luke realize the babies might help them with a few things on their to-do lists, so they offer to give Haley the day off."
236,11,4,Pool Party,10/16/19,7.1,505,"Mitch and Cam help Lily overcome her insecurities about wearing a bathing suit to a pool party; with Gloria's new internship taking up so much of her time, Jay starts feeling particularly neglected."
237,11,5,The Last Halloween,10/30/19,7.7,514,Phil is determined to scare Claire on Halloween; Gloria feels self-conscious about her age when someone correctly assumes she is Jay's wife; Mitch and Cam go to a carnival after Lily decides to go to her first Halloween party alone.
238,11,6,A Game of Chicken,11/6/19,6.8,485,Gloria uses her alone time with the twins as an opportunity to secretly baptize them before Haley and Dylan get home; Claire deals with the fallout from the smart closet fiasco; Cam feuds with his school's mascot.
239,11,7,The Last Thanksgiving,11/20/19,7.2,476,Cameron and Mitchell's friends mistakenly assume they have split up; Haley attempts to cook Thanksgiving dinner as a thank you for Claire and Phil's support with the twins; Jay invites Phil and Dylan out to fly his model plane.
240,11,8,Tree's a Crowd,12/4/19,7,458,"The Dunphy house is bursting at the seams when Dylan's hippie mom moves in and Claire's lonely stepdad, Jerry, wants to pay them a visit; Jay and Gloria attempt to help Manny get over his big breakup with Sherry."
241,11,9,The Last Christmas,12/11/19,7.5,528,Mitchell suspects Cameron has an ulterior motive for keeping everyone happy for Christmas dinner; Claire tries to dodge Jay's job offer to work at his dog bed company; Luke deals with the consequences of kissing Manny's ex-girlfriend.
242,11,10,The Prescott,1/8/20,7.7,676,Alex's company puts her up at a new luxury apartment building with a number of high-profile residents that the family is eager to take advantage of; Phil is on a mission to review the restaurant's famous sliders for his food blog.
243,11,11,Legacy,1/15/20,7.6,507,Phil pays a visit to his dad after hearing some concerning news about him; Jay gives Claire and Mitch a bunch of their old childhood memorabilia that triggers them to reevaluate a long-held story about their first family vacation.
244,11,12,Dead on a Rival,1/22/20,6.8,439,"Mitchell learns a valuable lesson when a former resident of the house shows up unexpectedly; the Dunphy's old neighbor-turned-tech-titan, Kenneth, comes to visit with a big surprise for Phil; Manny's dad has a big opportunity for his son."
245,11,13,Paris,2/12/20,7.5,512,The Pritchett-Dunphy-Tucker clan heads to Paris so Jay can accept a lifetime achievement award for his work in the closet industry; Claire has a secret rendezvous; Cam finally gets a chance to perform as Fizbo on the streets of Paris.
246,11,14,Spuds,2/19/20,7.6,496,Phil and Claire take Haley and Dylan to dinner to reassure them they are not bad parents; Mitch and Cam chaperone on Lily's first date; Jay and Gloria attend Joe's school play.
247,11,15,Baby Steps,3/18/20,7.2,445,Claire lands an interview for her dream job but is thwarted on her way to the interview by Phil's tricky staircase; Cam and Mitch debate the pros and cons of adopting another baby.
248,11,16,I'm Going to Miss This,4/1/20,7.2,422,"Mitchell is having a hard time letting go of his old life and Gloria steps in to help him; Haley, Luke and Alex decide to throw a party at the Dunphy house when Claire and Phil leave for a trip; Dylan's mom takes the twins for the night."
249,11,17,Finale Part 1,4/8/20,8.3,625,"Mitchell and Cam settle into their new normal; Phil and Claire decide that one of the kids needs to move out; as Gloria becomes more successful at work, she notices Jay and the kids don't seem to need her as much."
250,11,18,Finale Part 2,4/8/20,8.4,751,Phil and Claire tell their kids that one of them have to move out as there is not enough room for 3 adult children and grand kids anymore. Cam is offered his dream job and Jay attempts to learn how to speak like a true Columbian.
